id,created_at,updated_at,TR_TARGET_ID,DRUG_ID,INTEGRITY_PATENT_ID,TARGET_NAME,DRUG_NAME,PRODUCT_CATEGORY,MOLECULAR_MECHANISM,CELLULAR_MECHANISM,UNDER_ACTIVE_DEVELOPMENT,HIGHEST_PHASE,INACTIVE_CONDITIONS,ORIGINATOR_ORGANIZATION,INACTIVE_ORGANIZATION,ACTIVE_CONDITIONS,SMILES,SEQUENCE,CAS_NUMBER,CORTELLIS_ID,ACTIVE_ORGANIZATION
15,2016-04-05 22:59:30.590407,2016-04-05 22:59:30.590407,63831690820993,890610,477777,Estrogen receptor,BHPI,Null,Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Preclinical,Cancer,,University of Illinois,,Cc1cccc2c1NC(=O)C2(c3ccc(cc3)O)c4ccc(cc4)O,,,Null,
16,2016-04-05 22:59:30.594658,2016-04-05 22:59:30.594658,63831690820993,890584,530142,Estrogen receptor,890584,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CC(C)Cc1ccc(cc1)N2CCc3cc(ccc3C2(C)c4ccc(cc4)/C=C/C(=O)O)O,,,Null,
17,2016-04-05 22:59:30.598402,2016-04-05 22:59:30.598402,63831690820993,890582,530142,Estrogen receptor,890582,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CCCn1c(nnn1)/C=C/c2ccc(cc2)C3(c4ccc(cc4CCN3c5ccc(cc5)F)O)C,,,Null,
18,2016-04-05 22:59:30.602838,2016-04-05 22:59:30.602838,63831690820993,890580,530142,Estrogen receptor,890580,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CC1(c2ccc(cc2CCN1c3ccc(cc3)F)O)c4ccc(cc4)/C=C/c5nnn(n5)CCC(F)(F)F,,,Null,
19,2016-04-05 22:59:30.606838,2016-04-05 22:59:30.606838,63831690820993,890578,530142,Estrogen receptor,890578,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CC(C)Cc1ccc(c(c1)F)N2CCc3cc(ccc3C2(C)c4ccc(cc4)/C=C/C(=O)O)O,,,Null,
20,2016-04-05 22:59:30.611501,2016-04-05 22:59:30.611501,63831690820993,890576,530142,Estrogen receptor,890576,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CC1(c2ccc(cc2CCN1c3ccc(cc3)CC4CC4)O)c5ccc(cc5)/C=C/C(=O)O,,,Null,
21,2016-04-05 22:59:30.615469,2016-04-05 22:59:30.615469,63831690820993,885999,,Estrogen receptor,885999,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,"University of Cambridge
National University of Singapore (NUS)
University of Mysore
Bangalore University (BU)
University of Madras
Hokkaido University
Tumkur University","University of Cambridge
National University of Singapore (NUS)
University of Mysore
Bangalore University (BU)
University of Madras
Hokkaido University
Tumkur University",,c1ccc2c(c1)ccc(n2)c3ccc(cc3)Br,,,Null,
22,2016-04-05 22:59:30.620085,2016-04-05 22:59:30.620085,63831690820993,885998,,Estrogen receptor,885998,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,"University of Cambridge
National University of Singapore (NUS)
University of Mysore
Bangalore University (BU)
University of Madras
Hokkaido University
Tumkur University","University of Cambridge
National University of Singapore (NUS)
University of Mysore
Bangalore University (BU)
University of Madras
Hokkaido University
Tumkur University",,c1cc(cc2c1ccc(n2)c3ccc(cc3)N)Cl,,,Null,
23,2016-04-05 22:59:30.624824,2016-04-05 22:59:30.624824,63831690820993,885440,,Estrogen receptor,885440,Null,"Estrogen Receptor (ER) beta Modulators
Estrogen Receptor (ER) alpha Modulators",Signal Transduction Modulators,N,Biological Testing,Cancer,"Purdue University
Indiana University","Purdue University
Indiana University",,c1ccc(cc1)/C(=C(\c2ccc(cc2)O)/c3ccc(cc3)OCCN)/Cn4cnnc4,,,Null,
24,2016-04-05 22:59:30.628886,2016-04-05 22:59:30.628886,63831690820993,885438,,Estrogen receptor,885438,Null,"Estrogen Receptor (ER) beta Modulators
Estrogen Receptor (ER) alpha Modulators
Aromatase Inhibitors",Signal Transduction Modulators,N,Biological Testing,Cancer,"Purdue University
Indiana University","Purdue University
Indiana University",,c1ccc(cc1)/C(=C(\c2ccc(cc2)O)/c3ccc(cc3)OCCN)/Cn4cncn4,,,Null,
25,2016-04-05 22:59:30.632603,2016-04-05 22:59:30.632603,63831690820993,882810,,Estrogen receptor,882810,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Preclinical,Cancer,"Dalhousie University
Birla Institute of Technology Science
Katholieke Universiteit Leuven
University of Delhi
University Health Network (UHN)
Acadia University","Dalhousie University
Birla Institute of Technology Science
Katholieke Universiteit Leuven
University of Delhi
University Health Network (UHN)
Acadia University",,COc1ccc2cc(ccc2c1Cc3ccc(cc3)OCCN4CCCCC4)N5CCC(CC5)O,,,Null,
26,2016-04-05 22:59:30.637163,2016-04-05 22:59:30.637163,63831690820993,882809,,Estrogen receptor,882809,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Preclinical,Cancer,"Dalhousie University
Birla Institute of Technology Science
Katholieke Universiteit Leuven
University of Delhi
University Health Network (UHN)
Acadia University","Dalhousie University
Birla Institute of Technology Science
Katholieke Universiteit Leuven
University of Delhi
University Health Network (UHN)
Acadia University",,CC1CCN(CC1)CCOc2ccc(cc2)Cc3c4ccc(cc4ccc3OC)N5CCC(CC5)O,,,Null,
27,2016-04-05 22:59:30.641816,2016-04-05 22:59:30.641816,63831690820993,882057,,Estrogen receptor,VPC-16339,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Biological Testing,Cancer,University of British Columbia,University of British Columbia,,,,,Null,
28,2016-04-05 22:59:30.645647,2016-04-05 22:59:30.645647,63831690820993,881393,,Estrogen receptor,881393,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Biological Testing,Cancer,Tohoku Pharmaceutical University,Tohoku Pharmaceutical University,,CCCCCCN(c1ccc(cc1)O)c2ccc(cc2)OCCN3CCCCC3,,,Null,
29,2016-04-05 22:59:30.650173,2016-04-05 22:59:30.650173,63831690820993,879146,,Estrogen receptor,879146,Steroids,"Estrogen Receptor (ER) beta Ligands
Androgen Receptor Ligands
Estrogen Receptor (ER) alpha Ligands",Signal Transduction Modulators,N,Biological Testing,"Contraception, male","Martin Luther Universitaet
Georg-August-Universitaet Goettingen
Leibniz Institute for Plant Biochemistry","Martin Luther Universitaet
Georg-August-Universitaet Goettingen
Leibniz Institute for Plant Biochemistry",,C[C@]12CCC3=C4CCC(=O)C=C4C[C@H]([C@H]3[C@@H]1CC[C@@H]2O)C(=O)O,,,Null,
30,2016-04-05 22:59:30.654648,2016-04-05 22:59:30.654648,63831690820993,878487,,Estrogen receptor,878487,Null,Estrogen Receptor (ER) alpha Agonists,Signal Transduction Modulators,N,Preclinical,Cancer,"Centro di Riferimento Oncologico Aviano
Universita di Pisa
University of Illinois","Centro di Riferimento Oncologico Aviano
Universita di Pisa
University of Illinois",,C/C(=N\O)/c1cc(ccc1O)c2ccc(cc2)O,,,Null,
31,2016-04-05 22:59:30.658917,2016-04-05 22:59:30.658917,63831690820993,875493,,Estrogen receptor,NSC-74420,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Biological Testing,Cancer,,Georgetown University,,c1cc(ccc1/C(=N/NC(=N)N)/C2CC2)Cl,,,Null,
32,2016-04-05 22:59:30.663308,2016-04-05 22:59:30.663308,63831690820993,875489,,Estrogen receptor,NSC-31303,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Biological Testing,Cancer,,Georgetown University,,CC(=CC1C(C1(C)C)COC(=O)c2cc3c(cc2Cl)OCO3)C,,,Null,
33,2016-04-05 22:59:30.667307,2016-04-05 22:59:30.667307,63831690820993,875482,,Estrogen receptor,NSC-3036,Null,Estrogen Receptor (ER) alpha Antagonists,Signal Transduction Modulators,N,Biological Testing,Cancer,,Georgetown University,,c1ccc2cc(ccc2c1)CCCC(=O)O,,,Null,
34,2016-04-05 22:59:30.671839,2016-04-05 22:59:30.671839,63831690820993,872898,,Estrogen receptor,872898,Null,"Tubulin Polymerization Inhibitors
Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists","Signal Transduction Modulators
Antimitotic Drugs
Apoptosis Inducers",N,Biological Testing,Cancer,Trinity College Dublin,Trinity College Dublin,,COc1ccc(cc1)C2C(C(=O)N2c3cc(c(c(c3)OC)OC)OC)C(c4ccc(cc4)O)O,,,Null,
35,2016-04-05 22:59:30.676107,2016-04-05 22:59:30.676107,63831690820993,872897,,Estrogen receptor,872897,Null,"Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Trinity College Dublin,Trinity College Dublin,,c1ccc(cc1)C2(C(N(C2=O)c3ccc(cc3)O)c4ccc(cc4)O)c5ccccc5,,,Null,
36,2016-04-05 22:59:30.680197,2016-04-05 22:59:30.680197,63831690820993,872892,502391,Estrogen receptor,872892,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,CC1=C([C@@H](Oc2c1cc(cc2)O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,,,Null,
37,2016-04-05 22:59:30.684646,2016-04-05 22:59:30.684646,63831690820993,872813,502390,Estrogen receptor,872813,Null,Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,CC1=C([C@@H](Oc2c1cc(cc2)O)c3ccc(cc3)OCCN4CC(C4)CF)c5ccc(cc5)F,,,Null,
38,2016-04-05 22:59:30.689253,2016-04-05 22:59:30.689253,63831690820993,868183,,Estrogen receptor,868183,Null,"Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,,"East China University Science Technol
Fudan University",,C/C(=C\C(=O)c1cccc(c1)O)/c2ccc(cc2)OC,,,Null,
39,2016-04-05 22:59:30.693547,2016-04-05 22:59:30.693547,63831690820993,868179,,Estrogen receptor,868179,Null,"Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,,"East China University Science Technol
Fudan University",,C/C(=N\N(c1ccccc1)c2ccccc2)/c3ccc(cc3)O,,,Null,
40,2016-04-05 22:59:30.698721,2016-04-05 22:59:30.698721,63831690820993,864071,488530,Estrogen receptor,864071,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1cc(ccc1/C=C/c2n[nH]nn2)/C(=C(\c3ccc(cc3Cl)F)/C4CCC4)/c5ccc(cc5)c6c[nH]nc6,,,Null,
41,2016-04-05 22:59:30.703147,2016-04-05 22:59:30.703147,63831690820993,864070,488530,Estrogen receptor,864070,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1cc(ccc1/C=C/C(=O)O)/C(=C(\c2ccc(cc2Cl)F)/C3CCC3)/c4ccc(cc4)c5ccncc5,,,Null,
42,2016-04-05 22:59:30.707595,2016-04-05 22:59:30.707595,63831690820993,864069,488530,Estrogen receptor,864069,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1cc(ccc1/C=C/C(=O)O)/C(=C(\c2ccc(cc2C#N)Cl)/C3CCC3)/c4ccc(cc4)N5CCOCC5,,,Null,
43,2016-04-05 22:59:30.711161,2016-04-05 22:59:30.711161,63831690820993,864068,488530,Estrogen receptor,864068,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,Cc1cc(ncc1/C(=C(\c2ccc(cc2)/C=C/C(=O)O)/c3ccc(cc3)N4CCOCC4)/C5CCC5)OC,,,Null,
44,2016-04-05 22:59:30.715524,2016-04-05 22:59:30.715524,63831690820993,864066,488530,Estrogen receptor,864066,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1cc(ccc1/C=C/C(=O)O)/C(=C(\c2ccc(cc2Cl)F)/C3CCC3)/c4ccc(cc4)N5CCOCC5,,,Null,
45,2016-04-05 22:59:30.719859,2016-04-05 22:59:30.719859,63831690820993,864065,488530,Estrogen receptor,864065,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,CC/C(=C(/c1ccc(cc1)/C=C/C(=O)O)\c2ccc(cc2)c3c[nH]nc3)/c4ccccc4,,,Null,
46,2016-04-05 22:59:30.724496,2016-04-05 22:59:30.724496,63831690820993,864064,488530,Estrogen receptor,864064,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1ccc(cc1)/C(=C(\c2ccc(cc2)/C=C/C(=O)O)/c3ccc(cc3)c4cncs4)/C5CCC5,,,Null,
47,2016-04-05 22:59:30.728276,2016-04-05 22:59:30.728276,63831690820993,864063,488530,Estrogen receptor,864063,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,Genentech,Genentech,,c1ccc(cc1)/C(=C(\c2ccc(cc2)/C=C/C(=O)O)/c3ccc(cc3)c4c[nH]nc4)/C5CCC5,,,Null,
48,2016-04-05 22:59:30.732614,2016-04-05 22:59:30.732614,63831690820993,861145,,Estrogen receptor,BMI-120,Chemosensitizers,"Estrogen Receptor (ER) beta Agonists
Estrogen Receptor (ER) alpha Agonists",Signal Transduction Modulators,N,Biological Testing,Cancer,University of Illinois at Chicago,University of Illinois at Chicago,,CC(C)c1c2ccc(cc2sc1c3ccc(cc3)O)O,,,Null,
49,2016-04-05 22:59:30.736744,2016-04-05 22:59:30.736744,63831690820993,860931,482139,Estrogen receptor,860931,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,Cn1nc(nn1)/C=C/c2ccc(cc2)Oc3c4ccc(cc4sc3c5ccc(cc5)O)O,,,Null,
50,2016-04-05 22:59:30.741388,2016-04-05 22:59:30.741388,63831690820993,860930,482139,Estrogen receptor,860930,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,Cn1c(nnn1)/C=C/c2ccc(cc2)Oc3c4ccc(cc4sc3c5ccc(cc5)O)O,,,Null,
51,2016-04-05 22:59:30.745532,2016-04-05 22:59:30.745532,63831690820993,860927,482139,Estrogen receptor,860927,Null,"Selective Estrogen Receptor Destabilizers (SERD)
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Novartis,Novartis,,CC(C)c1ccccc1c2c(c3ccc(cc3s2)O)Oc4ccc(cc4)/C=C/C(=O)O,,,Null,
52,2016-04-05 22:59:30.750230,2016-04-05 22:59:30.750230,63831690820993,857287,,Estrogen receptor,SNG-1153,Null,Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,Y,Preclinical,,Shenogen,,Cancer,,,,77712,Shenogen
53,2016-04-05 22:59:30.755112,2016-04-05 22:59:30.755112,63831690820993,856123,476268,Estrogen receptor,856123,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O)O,,,Null,
54,2016-04-05 22:59:30.759106,2016-04-05 22:59:30.759106,63831690820993,856115,476268,Estrogen receptor,856115,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCOCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)OC)O)O,,,Null,
55,2016-04-05 22:59:30.763818,2016-04-05 22:59:30.763818,63831690820993,856113,476268,Estrogen receptor,856113,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(sc(n1)C)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCOCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O)O,,,Null,
56,2016-04-05 22:59:30.767755,2016-04-05 22:59:30.767755,63831690820993,856112,476268,Estrogen receptor,856112,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCN(C)CCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O)O,,,Null,
57,2016-04-05 22:59:30.772329,2016-04-05 22:59:30.772329,63831690820993,856111,476268,Estrogen receptor,856111,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCN4CCN(CC4)CCCCC[C@@H]5Cc6cc(ccc6[C@@H]7[C@@H]5[C@@H]8CC[C@@H]([C@]8(CC7)C)O)O)O,,,Null,
58,2016-04-05 22:59:30.776263,2016-04-05 22:59:30.776263,63831690820993,856108,476268,Estrogen receptor,856108,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCOCCOCCN(C)CCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O)O,,,Null,
59,2016-04-05 22:59:30.780288,2016-04-05 22:59:30.780288,63831690820993,856107,476268,Estrogen receptor,856107,"Pegylated Drugs
Estrogens
Oligopeptides, less than 10 AA
Steroids",Estrogen Receptor (ER) alpha Modulators,Signal Transduction Modulators,N,Biological Testing,"Cancer, breast",GlaxoSmithKline,GlaxoSmithKline,,Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCOCCCC[C@@H]4Cc5cc(ccc5[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O)O,,,Null,
